;Fase;Banco;Tipo.de.tronadura;Tipo.Material;M;Dominio.Estructural;Diametro;B;S;Tiempo.entre.Pozos..MS.;TIEMPO.ENTRE.FILAS..MS.;Fc;Tipo.Explosivo;P10;P20;P30;P40;P50;P60;P70;P80;P90;P100;Este;Norte;Cota
1;Stage 5;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;498;J;0,12;0,55;0,87;1,46;2,6;3,94;5,12;6,5;9,37;15,08;59095,2;90292,2;2930
2;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;424;J;0,24;0,51;0,83;1,46;2,52;3,62;4,88;6,34;8,46;13,54;59276,7;90607,7;2990
3;Stage 4;2930;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;424;J;0,39;0,79;1,26;1,85;2,72;3,62;4,8;6,38;9,25;14,61;59067,4;90335,2;2930
4;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;8;5;87;385;J;0,16;0,67;1,1;1,69;2,6;3,66;4,72;6,22;8,15;16,46;59278,6;90567,5;2990
5;Stage 2;3575;Tronadura 2;Roca 1;L8;Norte;10,625;7;7;5;87;507;K;0,59;0,79;1,02;1,34;1,89;2,91;4,06;4,88;6,38;11,46;59238,4;91671,4;3575
6;Stage 4;2990;Tronadura 2;Roca 1;L4;Noreste;12,25;6,5;6,5;11;105;471;L;0,39;0,79;1,14;1,65;2,4;3,39;4,49;5,71;7,36;13,82;59260,1;90222,2;2990
8;Stage 4;2990;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;507;M;0,787402;1,3779535;2,4409462;3,2677183;3,9763801;4,5669316;5,2755934;6,2204758;8,4645715;9,6456745;59200;90467;2990
9;Stage 4;2990;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;507;L;0,8661422;1,2598432;1,7322844;2,3228359;2,9921276;3,8188997;4,5275615;5,5511841;7,1653582;13,0315031;59243;90237;2990
11;Stage 4;2990;Tronadura 2;Roca 1;L4;Noreste;12,25;6,5;6,5;11;105;471;M;0,5118113;1,1417329;2,1653555;3,0708678;4,1338605;4,724412;6,299216;6,7716572;8,8582725;10,8267775;59227;90384;2990
12;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;471;J;0,5511814;1,0236226;2,2440957;3,0314977;3,7795296;4,8031522;5,5511841;6,6535469;8,267721;9,5275642;59273;90863;2990
13;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;7;7;5;87;469;J;0,5905515;2,0866153;2,8346472;3,5826791;4,2519708;5,0000027;5,7086645;6,4566964;7,87402;9,5669343;59270;90875;2990
14;Stage 4;2975;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;507;L;0,6299216;1,2204731;1,9291349;2,5590565;3,2677183;4,0157502;4,8031522;6,0236253;7,086618;10,8267775;59394;89932;2975
15;Stage 4;2990;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;508;L;0,8267721;1,7716545;2,6771668;3,3464585;3,8976399;4,4488213;5,1968532;6,0236253;7,9133901;10,1968559;59237;90373;2990
16;Stage 4;2990;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;507;L;0,5118113;0,9055123;1,6929143;2,4409462;3,149608;3,93701;4,6456718;5,6692944;7,5590592;10,236226;59240;90268;2990
17;Stage 4;2990;Tronadura 2;Roca 1;L4;Noreste;12,25;6;6;11;105;491;L;0,5905515;1,2598432;2,0078751;2,6377967;3,1889781;3,8976399;4,6456718;5,7086645;6,6535469;10,3149662;59259;90291;2990
18;Stage 4;2990;Tronadura 1;Roca 1;L4;Norte;10,625;7,5;9;17;120;262;J;0,4330711;0,6692917;1,5354339;2,5984266;3,4251987;4,2126007;5,3543336;6,1023655;7,2440984;9,9212652;59176;90883;2990
19;Stage 4;3575;Tronadura 1;Roca 2;L8;Norte;10,625;7;7;5;87;508;F;0,4330711;0,5905515;0,8267721;1,2598432;1,6535442;2,1653555;2,7165369;3,93701;4,6456718;6,5748067;59154;91804;3575
20;Stage 4;2990;Tronadura 1;Roca 1;L4;Norte;10,625;7;7;5;87;503;J;0,7480319;1,1023628;1,6535442;2,362206;3,3070884;4,2126007;5,118113;6,5748067;8,0315004;12,204731;59201;90887;2990
21;Stage 4;2990;Tronadura 2;Roca 1;L4;Norte;12,25;6,5;6,5;11;105;424;L;0,2755907;0,9055123;1,2992133;1,7716545;2,362206;3,2677183;4,2519708;5,6692944;8,0708705;12,7952825;59387;89996;2975
22;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;7;7;5;87;503;J;0,7480319;1,3385834;2,362206;3,2677183;3,9763801;4,8818924;5,4330738;6,4173263;7,6771695;11,9685104;59293;90523;2990
23;Stage 4;2990;Tronadura 2;Roca 1;L4;Norte;12,25;6,5;6,5;11;105;424;L;0,4;0,7;1,2;2;2,9;3,7;4,7;5,9;8,0708705;13,7;59366,6;90034,7;2975
24;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;7;7;5;87;514;J;0,6;1,1;1,8;2,8;3,6;4,3;5,1;6,4;8,4;14,5;59292,5;90477,1;2990
25;Stage 4;2990;Tronadura 1;Roca 2;L1;Norte;10,625;7,5;9;5;87;439;J;0,4;0,8;1,3;1,9;2,4;3,2;3,8;4,7;5,6;11,5;59460,5;89628,5;2990
27;Stage 4;2975;Tronadura 2;Roca 2;L1;Norte;10,625;7,5;9;5;87;468;J;0,2;0,5;0,9;1,7;2,4;3,3;4,2;5,4;6,9;12,6;59390,7;89593,5;2975
28;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;6,5;6,5;11;105;462;J;0,5;1,2;2,6;3,5;4,1;4,8;5,6;6,6;8,1;9,7;59205,1;90967;2975
29;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;7,5;9;5;87;468;J;0,3;0,7;1,1;2;3,1;4,1;5;6,5;8,9;13,8;59447,1;89912,6;2975
30;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;6,5;6,5;11;105;462;J;0,4;0,7;1,2;1,7;2,3;3;3,4;4,5;6,1;9,4;59187,7;90482,5;2975
31;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;7,5;9;5;87;468;J;0,2;0,5;1,1;2,4;3,5;4,3;5,4;6,3;7,5;11,3;59435,2;89945,1;2975
32;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;503;J;0,4;0,8;1,2;1,7;2,4;3,4;4,3;5,9;7,9;12,1;59177,7;90553,8;2975
33;Stage 4;2990;Tronadura 2;Roca 1;L4;Norte;12,25;7,5;9;5;87;468;L;0,4;0,8;1,3;2;3;3,9;4,8;5,9;7,1;14;59372,2;90030,3;2975
34;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;6,5;6,5;11;105;462;J;0,1;0,4;1,1;2,4;3,3;4,1;5;6,1;7,4;10,4;59177,6;90596,9;2975
35;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;7,5;9;5;87;468;J;0,7;1,2;2;2,7;3,3;4,1;4,9;6,2;7,3;10,2;59425,7;90103,3;2990
37;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;468;L;0,67;1,1;1,5;2,05;2,87;3,58;4,53;5,35;7,17;10,94;59171;90656;2975
38;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;481;J;0,35;0,75;1,14;1,81;2,68;3,86;4,76;6,02;8,07;15,24;59376;90238;2990
39;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;468;L;0,67;1,06;1,46;1,89;2,56;3,46;4,37;5,59;7,56;12,13;59175;90668;2975
40;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;503;J;0,47;0,75;1,06;1,65;2,36;3,19;4,49;5,98;7,64;10,59;59370;90254;2990
41;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;468;L;0,47;0,91;1,85;2,64;3,31;4,02;4,76;5,47;7,09;8,54;59158;90697;2975
42;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;503;J;0,12;0,47;0,75;1,1;1,89;3,23;4,65;6,26;8,27;15,08;59360;90259;2990
43;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;468;L;0,63;0,91;1,22;1,73;2,4;3,19;4,17;5,43;7,95;16,69;59174;90720;2975
44;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;468;L;0,39;0,67;0,94;1,38;2,09;3,03;4,17;5,47;7,32;14,02;59147;90696;2975
45;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;490;L;0,16;0,39;0,75;1,1;1,77;2,95;4,57;6,38;8,9;14,06;59213;90566;2975
46;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;542;K;0,47;0,67;1,1;1,73;2,87;3,74;4,84;6,14;7,48;11,97;59336;89975;2975
47;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;490;K;0,55;0,91;1,46;2,44;3,5;4,53;5,35;6,54;8,94;12,01;59311,45;90028,87;2975
48;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;542;K;0,63;1,01;1,46;1,89;2,56;3,43;4,37;5,39;6,89;13,46;59230,42;90502,81;2975
49;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;542;K;0,67;1,02;1,46;1,93;2,64;3,46;4,33;5,55;7,24;16,06;59309,45;90064,87;2975
50;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;542;K;0,3;0,6;1;1,9;3;3,9;5;6,1;7,6;10,2;59309,6;90070,8;2975
51;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;513;B;0,3;0,7;1,8;3;3,7;4,3;5;5,9;7,2;10;59288;90123,2;2975
52;Stage 4;2990;Tronadura 1;Roca 2;L1;Norte;10,625;7,5;9;5;87;297;K;0,3;0,6;1,8;2,6;3,4;3,9;4,5;5,1;6,1;7,7;59362,3;89443,8;2990
53;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;503;J;0,4;0,9;1,9;2,6;3,4;4;5;6;6,9;10,1;59332,8;90333,9;2990
63;Stage 4;2990;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;503;J;0,5118113;1,0236226;2,0472452;2,8740173;3,7795296;4,4488213;5,2362233;6,5354366;7,0078778;8,7795323;59303;90387;2990
70;Stage 4;2975;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;501;L;0,4724412;0,9055123;1,6141741;2,6771668;3,5039389;4,2913409;5,0787429;5,6299243;6,9685077;9,4881941;58835;90743;2975
71;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;462;J;0,6299216;1,4566937;2,4803163;3,3464585;4,0944904;4,8031522;5,6299243;6,0629954;7,1259881;9,4881941;59437;89972;2975
72;Stage 2;3575;Tronadura 1;Roca 2;L1;Norte;10,625;7,5;9;17;120;271;F;0,9055123;1,8503947;2,362206;2,755907;3,0314977;3,5826791;4,1338605;4,6456718;5,4724439;9,1338632;59014;91719;3575
73;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;468;J;0,8267721;1,5354339;2,4015761;3,2283482;4,0551203;4,6456718;5,5511841;6,6141768;7,5196891;10,0787456;59223;90620;2975
74;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;513;B;0,6299216;1,3779535;2,0078751;2,5196864;3,1102379;3,7795296;4,2126007;4,9606326;5,7086645;8,4252014;59259;90145;2975
75;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;468;J;0,8661422;1,4960638;2,4015761;3,2677183;4,0944904;5,0787429;6,2204758;6,9291376;8,5039416;11,7322898;59244;59252;2975
77;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;468;J;0,2362206;0,6299216;2,1259854;3,149608;3,8976399;4,5275615;5,3543336;6,4566964;7,0472479;13,1102433;59214;90707;2975
78;Stage 4;2975;Tronadura 2;Roca 1;L4;Noreste;12,25;7;7;5;87;513;B;0,1968505;0,4724412;1,1417329;2,0472452;3,149608;3,8976399;4,6456718;5,7874047;6,9685077;7,9921303;59268;90173;2975
79;Stage 4;2975;Tronadura 2;Roca 1;L4;Norte;12,25;7;7;5;87;501;L;0,35;0,55;2,05;3,31;3,9;4,37;5,12;5,83;6,61;11,89;58837,5;90751,4;2975
81;Stage 4;2975;Tronadura 1;Roca 1;L4;Noreste;10,625;6,5;6,5;11;105;487;J;0,39;0,75;1,14;1,85;2,99;4,13;5,2;6,34;8,31;15,47;59250,8;90606,4;2975
83;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;470;J;0,4;1;2,2;3,1;3,7;4,3;5,1;6,1;7,1;10,1;58922;90793,9;2975
85;Stage 4;2975;Tronadura 1;Roca 1;L4;Norte;10,625;6,5;6,5;11;105;470;J;0,1;0,4;0,8;2,2;3,2;3,9;4,9;6,2;7,8;13,3;58915,1;90808;2975
